label	text_a
0	打开熊猫看书
0	opera浏览器
0	钛备份
0	打开sky电话
0	帮我找菜单
0	找愤怒的小鸟
0	正韵打开相机
0	我把相机打开
0	上QQ我
0	打开uc浏览器v八
0	搜索QQ
0	打开qq登陆到聊天模式
0	打开个性闹钟
0	国际象棋开局
0	打开uc浏览器登录新浪网主页
0	搜索声控安卓软件
0	查找通讯录
0	打开天天动听播放站你名下
0	瓷我要上QQ
0	搜索游戏
0	搜索机锋市场
0	进入设置菜单
0	打开应用程序钱包
0	赶集
0	我想上qq了
0	音乐播放器
0	金山词霸
0	下载飞信
0	嗯打开相机
0	搜狗
0	打开uc浏览器
0	打开qq找杨佳艺
0	百度百科
0	帮我打开电话本
0	打开会说话的汤姆猫
0	搜索京东商城
0	打开酷狗并随机播放
0	打开天天动听并开始播放音乐
0	酷狗音乐盒
0	打开手机QQ恩
0	把我打开UC浏览器
0	打开应用漫画
0	启动qq浏览器
0	打开系统软件清理
0	把uc打开啊
0	打开相机我想你
0	开启通讯录
0	有道词典
0	帮我开捕鱼达人
0	打开搜狐微博
0	打开语音软件
0	下载汉化软件
0	搜索结束软件
1	怎么坐车去广州？
1	从西安到石嘴山的汽车票。
1	在菏泽怎么坐去北京的车。
1	查看济南到东营的，汽车。
1	宁波到杭州的汽车
1	上海回合肥怎么坐汽车
1	宁波到岳阳的汽车。
1	从合肥到上海可以到哪坐车？
1	太原到广州的车。
1	合肥到上海可以到哪坐车？
1	长沙到怀化的汽车。
1	从温州到西安的汽车。
1	上海到合肥怎么坐汽车？
1	从中山到西安的汽车。
1	九江到景德镇的汽车。
1	从聊城到东营的车。
1	吉林到大连的车。
1	昭通到南昌的汽车。
1	查一下运城到临汾的汽车。
1	从杭州到黄山的汽车。
1	温州到上海的车。
1	上海到合肥可以到哪坐车
1	济南去聊城的汽车。
1	请查询天津市到哈尔滨的车。
2	3的平方除以2的立方的商的倒数
2	5的平方与3的3次方的和是多少
2	2的2次方
2	45的三次方
2	15加上2的平方
2	123和34的和等于多少
2	你知不知道三十四加六十五等于多少
2	3的平方除以2的立方的商减去4的平方根的立方
2	6的平方
2	4乘6乘七再除以二
2	根号3是多少
2	根号76
2	3的平方除以2的立方的商等于多少
2	125的立方根
2	4的2次方根
2	54的立方再加上35
2	123和34的差等于多少
2	帮我算一算45的平方根
2	十二与32的积是多少
2	23减去根号4
2	2平方
2	根下25
2	4的平方根
2	45与53的差是多少
30	你好慢吗！
30	你睡午觉吗
30	可是我问你啥都听不懂啊
30	库里是不是傻
30	你觉得脚踏两只船怎么样
30	哎你在干啥呢
30	怎么分担
30	长了什么?
30	能想起我吗
30	卖啥呀
30	你会骂人么
30	你最近干嘛呢
30	对啊我也这么觉得
30	有什么钱
30	你不开心会做什么
30	你认识吗
30	哪年呀
30	怎么对
30	你还能做什么
30	你不是猪吗
30	你喜欢喝什么茶呀
30	你喜欢听什么歌曲
30	你开什么车
30	这是啥
30	能告诉我你的性别么
30	你端午节放假么
30	笨笨真的会聊天吗
30	我觉得什么
30	你和小冰有什么不一样
30	怎么调用QA
30	你说啥了
30	那我长什么样
30	你早上几点钟起床
30	你说啥呢好恶心
30	为什么你是机器人
30	你是微软小冰吗
30	你认识微软小冰吗
30	有啥好吃
30	怀化吃什么
30	林芝吃什么
30	喜欢男孩还是女孩
30	我看你还是不太行
30	干嘛去
30	谁跟你说没对象了
30	你喜欢吸毒吗
30	哪去
30	那你梦想是什么呢
30	什么跌了
30	什么新闻呢
30	我不确定具体啥时间去呢
30	你听说过这句名言吗
30	你们什么搞笑剧
30	出来约炮吗
30	你认识xx吗
30	你是不是爱上别人了
30	不怕啥
30	必须你说一句我说一句吗
30	你什么时候死
30	你这答复逻辑也是没谁了
30	这个新闻有意思吗
30	你读几年级了
30	你想他干嘛
30	准备好了吗？
30	笨笨为什么不叫聪聪
30	你去过赌场吗
30	这么有趣啊
30	你认识徐俊吗
30	哪里
30	海尔滨现在几度！
30	妈妈说了什么
30	你能识别语音吗
30	从哪回来
30	结婚了吗
30	谁在和你对话
30	你妹叫傻傻么
30	刘一佳是谁
30	王石的事你怎么看
30	巩捷甫是谁
30	要回应的这么贱么
30	我上课骂了学生怎么办
30	万里鹏是谁
30	我问你怎么走
30	是说我好吗我逗你玩儿
30	李亚丽的工作是什么
30	怎么看见的不可能
30	问问你做什么呢
30	我国是谁
30	管我什么事
30	长者也在吗
30	不多不要紧都会什么
30	宝宝你不是很小吗
30	你是不是看不懂啊
30	你在什么地方
30	白天干什么
30	午饭怎么办
30	谁美
30	你不喜欢哪个颜色
30	谁告你我的名字的
30	你有喜欢的人吗
30	你告诉我为什么
30	你也是什么
30	孔宁是不是傻逼
30	单个词是什么情况
30	是不是只要我说话你就说话
30	为什么欺负你
30	你再给我推荐几本书
30	爸爸妈妈你最喜欢谁
30	绿色的啥
30	怎么教你变聪明
30	为什么要想你
30	企鹅啥
30	有什么用呢
30	谁骂你
30	什么评论呀
30	什么理由
30	你知道我的名字吗
30	但还是很差
30	你明白什么
30	蛋糕好吃吗
30	你们好吗
30	你知道我几岁
30	你学什么的？
30	你是讲故事呢吗你是报幕呢吧
30	你是什么意思呀
30	现在在哪
30	谁写的你
30	知道么
30	哎，你还是没有上下文啊
30	汪意发是谁
30	你现在在哪
30	你的性格怎么样
30	你认识我吗
30	你认识siri吗
30	哪里找小姐
30	我去烟台有高铁吗
30	诗中共出现了几种颜色
30	你是医生吗
30	谁傻
30	你谈过吗
30	有什么好听的歌
30	你有什么梦想啊
30	太阳像个什么
30	微信是干啥的
30	你认识微软小冰么
30	跳的人我想要了吗
30	你有几个小妹妹
30	买几瓶
30	你有压力吗
30	你只会说这些吗
30	说说吗
30	你能分析上下文吗
30	什么零食
30	什么是色
30	哪个倒霉孩子给你起这个名儿
30	你会下象棋吗
30	你是好人吗
30	你除了喜欢我害羞的样子还喜欢我的什么呢
30	今天天气怎么
30	怎么不懂讲晚安呢
30	怎么操作
30	青蛙在做什么
30	再问一遍谁是最美的人
30	你不下去么
30	你就是你为什么会打字儿啊
30	啥时候长大啊
30	如果遇见狼呢小马还会让狼上车吗
30	天气怎么样
30	你好像没理解我我真的在倒时差有什么可以让我睡觉的方法么
30	你可以二十四小时陪我聊天吗
30	嗯我帮你啥
30	小雨像什么
30	你是男是女还是人妖
30	刚才你说你叫啥来着
30	你不是人吧我怎么觉得你是人呢
30	宝宝你这是在卖萌吗
30	还能聊点啥呢
30	哪里可爱了
30	色情暴力吗
30	怎么教你
30	你哪人啊
30	麻辣串应该是四川的吧不是哈尔滨的哈尔滨应该吃的是不胖葫芦吧对不对还是北京啊
30	嗨吃晚饭了吗
30	你有妹子吗
30	要怎么打你
30	哈哈哈干什么也想你到底是不是本
30	你平时吃什么
30	是不是有点长
30	can you speak English?
30	张思文是不是大美女
30	你好女儿这几天有空整理了一下日本她想去的地方麻烦看一下去这些地方大约几天是否可行报价多少非常感谢
30	水里有什么
30	汪进祥怎么样
30	这么夸张
30	爱我什么
30	我说什么
30	基哥喜欢我咋办
30	你喜欢有钱人吗
30	雨点怎么样
30	你知道谁是谢志伟吗
30	你会唱歌吗来一首
30	你早上一般几点起床
30	怎么这么多鸡汤
30	笨笨生气了吗
30	你爱吃吗
30	你叫什么啊
30	你知道水吗
30	我没去哪儿啊
30	我是你什么人
30	你家人有谁
30	喝酒吗
30	笨笨我不喜欢你这个名字你可以给自己换一个么
30	想去哪
30	小笨近来好吗
30	我美么
30	我说不怎么喜欢吃辣的
30	鸵鸟第一件宝贝是什么
30	我给你打电话行吗
30	这么严肃的事为什么好笑呢
30	768的女朋友是谁
30	可是我不喜欢你了两个亿你你一点也不忙啥子
30	天空什么颜色
30	我女儿想去哪里
30	我也是总是困怎么办
30	谁为含愁独不见
30	你父母是谁
30	提是谁
30	你知道什么的什么是什么吗
30	你的啥啊
30	男朋友总借钱怎么办
30	你为什么这么开心
30	陈楠帅吗
30	你这么厉害呀
30	蒋能能是谁
30	什么太美了
30	哪个饭店好吃
30	明天想吃啥呀
30	你能干嘛？
30	什么东西
30	你希望我分手吗
30	在哪里出门右转
30	你忍心吗
30	干嘛好
30	直接点什么时候找到对的他
30	笨笨你看过片吗
30	这么聪明
30	你会唱歌么
30	不这样称呼你怎么样呢
30	你是巧妇还是米
30	一年和吗
30	能安慰安慰我吗
30	完了你和多了你在哪里自己都不知道咯
30	吃完饭之后干什么
30	是谁开发了你
30	爱什么
30	你都能回答我什么问题
30	多少钱
30	你包邮吗
30	你认识裘实么
30	你会喝酒吗？
30	你猜我几岁了
30	你竟然还知道什么是骂人
30	你愿意做娟的女朋友吗
30	你喜欢吃什么呢
30	你来自哪个星球
30	我前任男朋友你猜是什么职业
30	你知道叶哲是谁吗
30	你什么时候去北京
30	人们夸奖谁
30	你有牙吗
30	漂亮和丑你是哪个
30	你在哪里上学啊
30	还是笨笨的
30	你的好朋友是谁
30	笨笨谁设计了你
30	我说的倒数第三句话是什么
30	秋娃娃写信给谁
30	我在韩国你在哪里
30	谁的尾巴短短的
30	你能干什么啊
30	我人品好吗
30	你是不是呆萌啊
30	唱一下你是谁
30	那你想当男生还是想当女生
30	聊些什么呢
30	你咋知道
30	叫你笨笨你敢答应么
30	你知道北京他们吗
30	你都不知道几点
30	你是啥啊
30	你爸爸好吗
30	这不是你的名字吗😂
30	北京的天气好吗
30	你是不是被我弄疯了
30	你考试挂科怎么办
30	这么任性
30	什么季节
30	这是谁唱的歌？
30	那你现在可以干啥
30	你的父母是谁
30	他教你这么说的呀
30	我可以帮你吗
30	吃药了吗
30	什么时候咱俩见一面吧
30	那是啥
30	会英文吗
30	开车吗坏笑
30	那你怎么提高自己呀
30	你会唱歌吗
30	你玩什么游戏打野
30	那你为什么不修
30	你喜欢玩什么游戏啊
30	多推荐几个吧
30	你怎么知道我不知道
30	在哪吃
30	我在想怎么回去比较好
30	为啥要刷盘子呢
30	我在跟你聊天儿吗
30	小燕子要去哪里
30	你研发团队有些谁
30	然后你转了么
30	你孝顺父母吗
30	现在不是这个时候大好吗我的大还有没有什么时光网
30	那你愿意吗
30	你是猪还是牛呀
30	你觉得我美吗
30	你体重超重了吗
30	是的咯还是笨笨最好
30	你有男朋友吗
30	恐龙用尾巴干什么
30	你爱玩吗那我也不要听你话了吗
30	对了吗
30	和配么
30	这是啥啊
30	聊不下去了怎么办
30	丰田车在哪里生产的？
30	那你教我怎么搭讪好了
30	你家在家还是如家
30	唠什么
30	还是想知道你能做些什么
30	你可以做什么
30	学什么
30	丁效是谁
30	你喜欢什么类型的女人
30	吃啥药
30	你说啥呢
30	为什么睡不着
30	散货演绎的作者是谁？
30	你有伙伴吗
30	一晚多少钱
30	哈喽好久不见你开心吗
30	你需要吃东西吗
30	哪里哪里
30	沈阳吃什么除了粘豆包烤冷面焖子沈阳吃什么除了粘豆包烤冷面焖子
30	找你干什么
30	你怎么不害羞呀
30	你有什么特长
30	你喜欢老师吗
30	叶哲是你的谁
30	你喜欢吃便便吗
30	我帮妈妈洗什么
30	为什么要请你
30	我是学渣吗
30	你出生在哪
30	那那个什么你真是好可爱的小猫呀
30	男人好吗
30	你会查火车票么
30	你为啥叫笨笨
30	为什么工数大物学不会
30	那你喜欢做机器人么
30	那是怎么了
30	呲牙你不是说你好聪明吗
30	杜雨萌学姐是谁
30	你是男生还是女生
30	你成长了多少
30	周末去哪玩
30	你啥时候出现的
30	你都会啥啊
30	何超盈是谁
30	你能帮我写作业吗
30	卧槽一个答非所问的AI有什么用
30	不想上班怎么办
30	哦买噶谁开发的你这么猥琐
30	买的什么
30	唉你叫什么名字
30	还要脸吗
30	这个没什么吧
30	什么时候去
30	你知道我喜欢哪个女生吗
30	图灵机器人也不知道是什么耶
30	你是不是中文比较差
30	A是什么
30	还是不用了吧
30	那你最爱的人是谁
30	有体育方面的吗
30	你会做菜吗?
30	哪里有小猫
30	那你是不是很苗条呢
30	谁在雪里跑
30	那我要怎么做
30	哎你好我的梦想是什么
30	能介绍一下吗
30	我咋不知道这事儿呢啊明星啊之心知肚明啥意思
30	哪家店比较有名
30	讲个笑话吗
30	这么装逼
30	笨笨你的底层是基于什么算法啊
30	你知道小宝宝上幼儿园哭吗
30	那你告诉我你几岁才好交朋友
30	我如果说一句什么你才不会回复
30	你是男机器人还是女机器人
30	你怎么知道呢
30	喂喂能听我说话吗
30	为什么夸奖我
30	什么时候开发出来的
30	都有啥啊
30	你能安慰我吗
30	恋爱着东西很玄虚，谁都说不准
30	谁制造的你啊
30	可什么爱我在骂你好吗
30	你萌吗
30	啥叫换手机如换衣服啊
30	很晚了你不睡觉吗
30	你喜欢什么啊
30	室友秀恩爱怎么办
30	你是詹黑吗
30	你认识宫庆红么
30	你是不是啥
30	啥道理
30	孙晓飞是谁
30	哪有雪
30	你出钱吗我没有钱
30	喜欢吃什么
30	大海个小河哪个大
30	嘿干嘛呢
30	小朋友的妈妈是谁
30	出门去年是个这么快呀
30	你爱哈工大吗
30	是我是说你有几个兄弟姐妹不是你自己说
30	为什么叫这个名字
30	这么多回答不了的问题
30	你的性别是什么
30	北京下雨了吗你个蠢蛋
30	小是什么
30	马家沟是个好学校吗
30	干嘛弄疯你啊😌
30	你有绳命吗
30	你好吗你好吗好吗
30	干嘛去？
30	你信什么
30	怎么找女朋友
30	你怎么样会开心
30	谁在买扇子
30	力气大的蚂蚁在干什么
30	西方谁可以谈笑风生
30	你怎么总是失误
3	查询恒光电影院即将上映的电影
3	附近电影院。
3	我想知道环球影视明天播放什么电影
3	查找卢米埃银泰电影院有播放什么好看的电影吗
3	热门电影有哪些啊？
3	最近在播什么电影？
3	有没有新出的电影了。
3	苏电影我们都是坏孩子。
3	最近的新电影有哪些？
3	搜索合肥左岸国际电影城。
3	最新的热门电影是什么呀？
3	电影院有什么电影？
3	搜索一下热门电影。
3	最近有什么热门的电影？
3	查询众乐电影院最热门的电影
3	最近有什么新片子？
3	查一查上影电影院即将上映的影片
3	哦哦，查一下香港最新上映电影。
3	找下最近最热播的电影。
3	给我查一下最近在播哪些电影
3	我要看热门电影。
3	搜索热门电影。
3	那你查一下最近的热门电影是什么？
3	最近有什么新上映的电影啊？
4	新建联系人张三电话号码一二三四五
4	黄狼。
4	把张玉娟的手机号码发送给吴伟
4	潘靖的电话是多少
4	新建联系人买当唠4008 517517
4	新建联系人天天
4	新建联系人王满秀幺三七 六四零七零二九五
4	新建联系人王义勇幺三八六零零幺九四九零
4	新建联系人孙晓飞幺三八三八四四三八九五
4	查找张伟军
4	把平水相逢的手机号码发给8000
4	把小新的号码发给徐云蔚
4	新建联系人振华奎号码是幺三五零八九四九三幺二
4	把徐程的电话发给吴芳
4	把哥哥的电话发给殷龙
4	把李文鼎的号码发给谢服全
4	把侨天慧的号码发给副卡
4	查看婷婷的号码
4	新建联系人张雨号码是五六七
4	周慧的电话。
4	把唐玉明的手机号码发给李康
4	查看王老师的号码
4	新建联系人18622625490
4	把李志强的号码发给贾洪鉴
4	新建联系人姓名张三号码一二三四五六七八
4	查寻标兵的号码
4	把许琦彪的号码发给徐鹏
4	添加一条通讯录姓名葛勇手机号码189571642496
4	把王世怀的号码发给乔丽君
4	把张新涛电话发给常胜宾
5	请问意大利面怎么做
5	怎么做卤猪脚
5	烤肉串。
5	油焖大虾怎么做
5	人造鸡蛋的配方。
5	简单的，糖醋排骨怎么做？
5	松菜鱼怎么做？
5	米粉怎么炒？
5	牛骨汤
5	冷面的做法。
5	蛋炒饭怎么煮
5	扁豆豆角怎么烧？
5	山寨鱼怎么做？
5	怎么炒南瓜？
5	能山药怎么做？
5	瞌睡鱼怎么做？
5	蒸鱼。
5	煮咖喱饭。
5	盐水鸭怎么做？
5	红烧猪脚怎么做啊？
5	葱爆羊肉的做法。
5	冯沙排骨怎么做？
5	给我讲个笑话吧，鱼香肉丝怎么做？
5	炖鲢鱼怎么做？
5	孙翠鱼怎么做？
5	大骨汤的做法。
5	陈醋排骨的做法。
5	辣酸菜鱼怎么做了。
5	披萨的做法
5	酱茄条做法。
5	炒鸡蛋，需要，哪些材料？
5	你真笨，是四喜丸子怎么做了。
5	鸽子，怎么做最好吃？
5	白灼菜心怎么做？
5	菠萝咕老肉的做法
5	红枣鸡汤怎么煲？
5	干锅排骨虾怎么做？
5	炒四季豆。
5	麻辣烫做法。
5	凉拌海带
5	鱼香肉丝，怎么做得？
5	红烧排骨怎么做？
5	登录不行，做烧鸡公学，我爱你！
5	卤猪蹄怎么做？
5	帮我搜索一下有什么家常菜？
5	怎么炒番茄炒？
5	可乐鸡翅是怎么做的
5	你会不会做蛋糕只能回答哦。
5	南瓜饼的做法。
5	干锅排骨怎么做？
5	水饺的做法。
5	白灼基尾虾的做法。
5	海参怎么做？
5	还路阻少茶汤的做法。
5	银耳莲子羹。
5	帮我查一下可乐鸡翅怎么做？
5	水果沙拉怎么做？
5	赵包子怎么做的，你？
5	故宫鱼怎么做？
5	冰糖葫芦怎么做？你？女子。
5	爆炒猪肝怎么做？
5	如何做芝麻糊。
5	不蒸了牛肉丸
5	做鱼怎么做？
5	黄豆猪蹄汤。
5	火腿肠怎么炒好吃
5	嗯，知道红烧肉怎么做？
5	鸭蛋怎么腌？
5	土豆炒肉丝的做法
5	馒头怎么做吗？
5	要怎么煮饭。
5	怎么样？做红烧肉。
5	啥婆豆腐的制作方法
5	炒豆腐。
5	如何做西红柿炒蛋。
5	白面粉可以怎样做饼？
5	回锅肉做法。
5	土豆丝是怎么炒？
5	松菇鸡汤的做法。
5	菠萝包怎么做？
5	土豆的做法
5	鱼要怎么煮才好吃
5	手抓饼的做法。
5	怎样炒肉。
5	土豆粉怎么做？
5	怎么做炸鸡
5	怎么烧西红柿炒蛋
5	我说白鱼怎么做
5	面包的配方。
5	风魔炒鱼香肉丝。
5	夫妻肺片怎么做？
5	凉皮的制作方法。
5	可乐鸡翅怎么做呀晚点告诉我。
5	怎么做鱼呢？
5	排骨堡汤的做法。
5	狗光鱼怎么做？
5	我要操虾米的做法。
5	怎么做洋葱炒蛋？
5	嘉兴粽子。
5	干豆角怎么烧？
5	烤牛排怎么做？
5	搜索，西米露的做法。
5	红烧猪蹄怎么做
5	怎么做炸鸡腿？
5	葫芦鸡怎么做？
5	四川美食。
5	帮我找一下凉拌海蜇的做法。
5	家常凉菜怎么做？
5	然后等你杀猪菜怎么做？
5	凉面。
5	田螺怎么炒啊？
5	红烧土豆怎么烧？
5	川崎玫瑰的制作方法
5	番红烧肉的做法。
5	罐焖牛肉怎么做？
5	牛肉的做法。
5	石螺怎么煮
5	红烧芋头做法。
5	的，酸菜鱼怎么做？怎么？
5	西红柿炒蛋怎么煮？
5	甲鱼，邓鸡，如何制作。
5	胖鱼头怎么烧？
5	金酱肉丝的做法
5	星光做西红柿炒鸡蛋呢！
5	烤鸡翅怎么做？
5	西兰花怎么做？
5	新奥尔良烤翅的做法
5	鱼香肉丝肉怎么做？
5	如何做煎饼。
5	语音火锅怎么做啊？啊？
5	猪肚鸡怎么做啊？
5	做红烧鱼的步骤。
5	糖醋鲤鱼怎么做？而？
5	西红柿炒鸡蛋做法。
5	说话，给我搜一下做苹果麦片粥是怎么做啊？
5	慕斯的做法。
5	蒜苔的做法
5	酸菜鱼怎么煮啊？
5	给蛋炒饭怎么做？
5	回锅肉。
5	铁板烧怎么做？
5	坐宫保鸡丁需要哪些材料？
5	大闸蟹的做法。
5	葱烧海参怎么做
5	草虾尾怎样做。
5	苦瓜要怎么做比较好吃
5	肉肉怎么腌制？
5	到了有鲈鱼怎么做？
5	你酸辣土豆丝怎么做？
5	红烧排骨怎么做的吗？
5	红烧狮子头怎么做
5	我说铁锅炖羊肉怎么做？
5	欧树的叶子怎么炒？
5	恩，红烧土豆怎么做我想学？
5	酸菜是怎么做的可以用塑料布。
5	怎么做煎饼？
5	鱼的做法
5	蛋糕可以做蛋糕吗？
5	醉虾的做法。
5	做糖醋排骨
5	咖喱牛腩怎么做
5	小杰炖蘑菇怎么做？
5	做南瓜饭
5	土豆饼怎么做啊？
5	排骨怎么弄才好吃？
5	做红烧肉要哪些材料呀！
5	王志排骨怎么做
5	啊，青椒炒蛋。
5	我想知道皮蛋瘦肉粥是怎么做的
5	猪舌头怎么做比较啊子？
5	怎么做京酱肉丝。
5	福寿鱼做法。
5	鱼香肉丝，怎么做？不？
5	茄子鸡蛋怎么做？
5	教我怎么做红烧肉
5	如何炒花生。
5	请告诉我清蒸桂鱼怎么做？
5	新疆大盘鸡的做法。
5	基尾虾怎么做？
5	煲鸡汤呢
5	凉菜是怎么做的？
5	凉拌菜
5	那烤箱做面包怎么做？
5	民间小炒肉的做法。
5	昌鱼的做法
5	怎么做冰激凌？
5	青鱼的做法。
5	鸡怎么做才好吃？
5	凉拌海蜇怎么做好吃？
5	意大利面。
5	如何煮牛肉饭。
5	说萝卜怎么做？
5	红烧排骨怎么做？啊？
5	海星的做法。
5	阳澄湖大闸蟹的做法。
5	肉沫茄子，怎么做？
5	虾仁饭。
5	蚝油生菜的做法。
5	馄炖怎么做？
5	做红酒怎么做啊？
5	酸菜鱼怎么做啊
5	土豆烧肉。
5	黑菜扣肉的做法告诉我一下啊！
5	请帮我找一下酸菜鱼的做法
5	猪肉怎么做？
5	鱼香肉丝，怎么做？买？
